variant,resolved_n,human_true_bug_n,human_false_positive_n,human_uncertain_excluded_n,tp,tn,fp,fn,abstain_total,abstain_on_true_bug,abstain_on_false_positive,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,coverage,coverage_ci95_low,coverage_ci95_high,selective_accuracy,bug_precision_explicit,bug_recall_strict,bug_recall_ci95_low,bug_recall_ci95_high,false_positive_reduction_rate,fp_reduction_ci95_low,fp_reduction_ci95_high,false_alarm_rate,f1_strict,selective_recall,selective_specificity,selective_precision,selective_f1
A,291,13,278,9,4,240,15,8,24,1,23,0.8384879725085911,0.7918416178067448,0.8763140777591364,0.9175257731958762,0.8802186777858876,0.9439530685212651,0.9138576779026217,0.21052631578947367,0.3076923076923077,0.12680703655710515,0.5763065681945096,0.8633093525179856,0.8179479684917412,0.8987670273971751,0.0539568345323741,0.25,0.3333333333333333,0.9411764705882353,0.21052631578947367,0.2580645161290323
B,291,13,278,9,3,251,12,7,18,3,15,0.872852233676976,0.8296595211145673,0.9063292399909971,0.9381443298969072,0.9043529094026473,0.9605186762283154,0.9304029304029304,0.2,0.23076923076923078,0.08179528718498563,0.5025637594672749,0.9028776978417267,0.8623815458456593,0.9323915189024462,0.04316546762589928,0.21428571428571427,0.3,0.9543726235741445,0.2,0.24
C,291,13,278,9,3,252,10,8,18,2,16,0.8762886597938144,0.8334854099923792,0.9092866576671537,0.9381443298969072,0.9043529094026473,0.9605186762283154,0.9340659340659341,0.23076923076923078,0.23076923076923078,0.08179528718498563,0.5025637594672749,0.9064748201438849,0.8664932445877747,0.9353760082384388,0.03597122302158273,0.23076923076923078,0.2727272727272727,0.9618320610687023,0.23076923076923078,0.24999999999999994
