variant,tp,tn,fp,fn,abstain_total,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,coverage,bug_precision_explicit,bug_recall_strict,bug_recall_ci95_low,bug_recall_ci95_high,false_positive_reduction_rate,fp_reduction_ci95_low,fp_reduction_ci95_high,f1_strict
A,4,240,15,8,24,0.8384879725085911,0.7918416178067448,0.8763140777591364,0.9175257731958762,0.21052631578947367,0.3076923076923077,0.12680703655710515,0.5763065681945096,0.8633093525179856,0.8179479684917412,0.8987670273971751,0.25
B,3,251,12,7,18,0.872852233676976,0.8296595211145673,0.9063292399909971,0.9381443298969072,0.2,0.23076923076923078,0.08179528718498563,0.5025637594672749,0.9028776978417267,0.8623815458456593,0.9323915189024462,0.21428571428571427
C,3,252,10,8,18,0.8762886597938144,0.8334854099923792,0.9092866576671537,0.9381443298969072,0.23076923076923078,0.23076923076923078,0.08179528718498563,0.5025637594672749,0.9064748201438849,0.8664932445877747,0.9353760082384388,0.23076923076923078
