endpoint,n,variant_1,variant_2,variant_1_successes,variant_2_successes,variant_1_rate,variant_2_rate,variant_1_only_success,variant_2_only_success,discordant_pairs,delta_variant_2_minus_variant_1,p_value_exact,p_value_holm_within_endpoint
strict_overall_correctness,291,A,B,244,254,0.8384879725085911,0.872852233676976,13,23,36,0.03436426116838487,0.13249816396273675,0.324387064218172
strict_overall_correctness,291,A,C,244,255,0.8384879725085911,0.8762886597938144,14,25,39,0.037800687285223344,0.10812902140605732,0.324387064218172
strict_overall_correctness,291,B,C,254,255,0.872852233676976,0.8762886597938144,11,12,23,0.0034364261168384758,1.0,1.0
false_positive_suppression,278,A,B,240,251,0.8633093525179856,0.9028776978417267,11,22,33,0.039568345323741094,0.08014331245794892,0.19573600566945976
false_positive_suppression,278,A,C,240,252,0.8633093525179856,0.9064748201438849,12,24,36,0.043165467625899345,0.06524533522315325,0.19573600566945976
false_positive_suppression,278,B,C,251,252,0.9028776978417267,0.9064748201438849,8,9,17,0.003597122302158251,1.0,1.0
true_bug_retention,13,A,B,4,3,0.3076923076923077,0.23076923076923078,2,1,3,-0.07692307692307693,1.0,1.0
true_bug_retention,13,A,C,4,3,0.3076923076923077,0.23076923076923078,2,1,3,-0.07692307692307693,1.0,1.0
true_bug_retention,13,B,C,3,3,0.23076923076923078,0.23076923076923078,3,3,6,0.0,1.0,1.0
